Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartQuoteOrIdentifier,733,11,1,4,5,0,588
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.FinishTransaction,255,11,5,1,4,0,563
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsInformixCatalogColon,445,16,1,1,6,0,542
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.Extract,985,19,3,1,3,0,537
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Validator.pas,TRickSQLCoreCommandValidator.Validate,89,12,3,1,5,0,533
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ExtraParameterError,167,12,2,1,6,0,533
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyRows,215,14,3,2,3,0,525
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryTrackParenthesis,779,14,1,2,5,0,525
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.ExecutePrepared,219,10,4,1,4,0,508
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.PrepareSession,144,9,3,1,5,0,496
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.PrepareSession,124,9,3,1,5,0,496
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.RollbackAfterFailure,137,12,2,1,5,0,492
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TrySkipDialectColon,849,15,1,1,5,0,487
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ProcessNormal,906,11,1,1,6,0,479
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,IsValueCompatible,1067,11,1,1,6,0,479
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ProcessBlockComment,953,13,1,2,4,0,471
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.CreateSession,123,10,3,1,4,0,467
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.CreateSession,103,10,3,1,4,0,467
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterValidator.ValidateParameterNames,1172,10,2,1,5,0,467
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,TRickSQLServiceFireDACDriverContext.Create,67,13,2,1,4,0,463
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.Validate,244,9,3,1,4,0,454
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.Open,80,12,2,1,4,0,450
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindCandidate,566,8,3,1,4,0,442
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Driver.Context.Factory.pas,TRickSQLCoreDriverContextFactory.Create,62,8,4,1,3,0,442
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ConfigureInternal,903,11,2,1,4,0,438
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.ValidateSetup,125,11,2,1,4,0,438
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.ValidateSetup,156,11,2,1,4,0,438
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.ValidateSetup,143,11,2,1,4,0,438
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.ExtractSQLState,90,11,1,1,5,0,438
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ProcessDelimited,922,14,1,1,4,0,433
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.VendorLibrary.pas,TRickSQLServiceFireDACDriverVendorLibrary.TryApply,102,17,2,1,2,0,429
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindInDirectory,582,10,2,1,4,0,425
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,VendorLibraryError,868,10,2,1,4,0,425
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.VendorLibrary.pas,TRickSQLServiceFireDACDriverVendorLibrary.Apply,79,10,2,1,4,0,425
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryTrackArrayBracket,805,9,1,2,4,0,421
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyFieldMetadata,155,6,3,1,4,0,417
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyRowsInternal,252,9,3,1,3,0,412
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateProvider,217,8,3,1,3,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,IsValidParameterName,1021,8,1,1,5,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.Start,78,8,2,1,4,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.Commit,97,8,2,1,4,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.Rollback,117,8,2,1,4,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ValidateOptions,291,8,2,1,4,0,400
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartLineComment,607,11,1,1,4,0,396
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartAlternativeQuote,654,11,1,1,4,0,396
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ReadParameter,873,11,1,1,4,0,396
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindSystemCandidate,647,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveByContext,798,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateGeneralOptions,204,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsDollarQuoteTagValid,696,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterValidator.ValidateParameterValues,1192,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.Bind,80,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.AddParameter,115,7,2,1,4,0,388
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryTrackStructure,820,10,1,1,4,0,383
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,VendorLibraryError,122,10,1,1,4,0,383
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ValidateArchitecture,779,9,2,1,3,0,371
