Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.ReleaseFireDACFixture,134,14,0,1,3,0,350
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.CheckMissingWithParameters,125,6,4,0,2,0,325
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.UseTransactionFalse_NaoDeveIntroduzirErroTransacional,476,14,0,1,2,0,308
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLTestDriverProvider.CreateDriverLink,109,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.Open_SQLite_TemporaryDatabase_ReturnsDataset,265,13,0,1,2,0,296
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.FireDACDBMSCode,55,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TDataSetReleaseProbe.Notification,83,5,2,1,2,0,279
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenOpen_OwnerFalse_DevePreservarDataSetAnterior,288,18,0,0,1,0,267
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.CaptureSQLiteDatabaseError,80,14,1,0,1,0,258
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.CheckValid,101,4,3,0,2,0,258
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.Execute_SQLite_TemporaryDatabase_Succeeds,243,10,0,1,2,0,258
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.Destructor_OwnerFalse_NaoDeveLiberarDataSet,409,10,0,1,2,0,258
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLRaisingDriverProvider.ApplyConnectionOptions,125,2,2,1,2,0,242
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.CheckSanitizedError,85,5,3,0,1,0,229
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenExecute_OwnerFalse_DeveManterDataSetAnteriorReferenciado,340,15,0,0,1,0,229
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TDataSetReleaseProbe.Watch,94,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.DataSetMaterializer_Exception_UsesSharedNormalization,250,14,0,0,1,0,217
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLRaisingDriverProvider.CreateDriverLink,117,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.GenericException_PreservesContextAndSanitizesTechnicalDetail,109,13,0,0,1,0,204
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.ConfigureAndContext_SamePath_ProduceSameVendorLib,411,13,0,0,1,0,204
